,Genre,Number of Books
692,Crystals,10
693,Gaia,10
694,Spiritual,264
695,Guides & Reviews,154
696,Meditations,161
697,Meditation,217
698,"Cleaning, Caretaking & Relocating",68
699,Spirituality,117
700,Stress Management,108
701,Documentaries,25
702,Sexual Abuse,73
703,Adaptations,288
704,Civil War,86
705,American Civil War,91
706,Australian & Oceanian,44
707,Emigration & Immigration,102
708,Reference & Collections,38
709,Children's eBooks,258
710,Australia,7
711,Style & Clothing,78
712,Fashion Design,226
713,Fashion,136
714,Dating & Intimacy,22
715,Emotions,160
716,Drugs & Alcohol Abuse,124
717,Drugs,38
718,Decorating & Design,17
719,Mormonism,108
720,Arts & Humanities,78
721,Bibles,102
722,Equipment,22
723,Chinese,155
724,China,153
725,Blended Families,17
726,Geography & Cultures,21
727,Multicultural,1173
728,Ethnic Studies,161
729,"Death, Grief & Loss",19
730,Special Diet,138
731,Diets & Weight Loss,21
732,Negotiating,40
733,Star-Gazing,26
734,Astronomy,192
735,Business Writing,12
736,Law Enforcement,116
737,Etiquette,17
738,Arctic & Antarctica,40
739,Monsters,63
740,Ancient & Classical,304
741,Mythology,126
742,Psychoanalysis,109
743,"Words, Language & Grammar",352
744,Native North & South Americans,87
745,Autism & Asperger's Syndrome,45
746,Conflict Management,41
747,Conflict Resolution,58
748,Disabilities,45
749,Labor & Industrial Relations,41
750,Mountain Climbing,118
751,Free Shippping Products,12
752,Nonfiction,130
753,Egypt,106
754,Israel & Palestine,89
755,Statistics,90
756,Adventurers & Explorers,25
757,Turkey,23
758,Comic Strips,607
759,"Yaoi, Gay & Lesbian",66
760,Anthologies & Short Stories,217
761,Gay Romance,1019
762,Crime & Mystery,52
763,Colonial & Revolutionary Periods,34
764,Colonial,83
765,Norse,38
766,Arthurian,160
767,Children's Cookbooks,46
768,Gourmet,57
769,"English, Scottish & Welsh",31
770,Quick & Easy,203
771,Animal Psychology,14
772,Entomology,25
773,Ornithology,15
774,Government,125
775,Comparative Politics,52
776,North,28
777,International Relations,113
778,Non-US Legal Systems,51
779,Natural Foods,128
780,Physical,36
781,International,94
782,Military Sciences,22
783,Microbiology,40
784,Immune Systems,8
785,Genetics,70
786,Fascism,37
787,Race & Ethnicity,2
788,Korea,11
789,Asian American Studies,37
790,General Surgery,27
791,Epidemiology,23
792,Consciousness & Thought,144
793,Astronautics & Space Flight,46
794,Neurology,43
795,Evolution,225
